case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
occupied40,B2,LVL 7 x 16,16,37.80603633573503,7.361903470908581,0.30604569969022494,0.6839968109112231,0.9533720467774338,0.6750430173470499,0.34595411047502733,True
occupied40,E-rail,LVL 7 x 16,16,6.278934929834994,6.186971738186013,0.004906700271204326,0.011108169235792291,0.01547751223145411,0.11211308012089162,0.290741153110245,True
occupied40,S-header,LVL 7 x 16,16,3.246760006679221,1.5359619511582219,0.00033713901282870725,0.027600562476535643,0.03517737425303992,0.057972294478245194,0.07217866311833748,True
occupied40,N-header,LVL 7 x 16,16,5.836332359813642,2.8246150667292524,0.015851215247362174,0.04634493521398729,0.06338224686025828,0.10421022112505544,0.1327356704290062,True
occupied40,W-rail,LVL 7 x 16,16,0.23598241280892357,0.1580585051287741,0.0,0.0007703011989002211,0.0011554517983503316,0.004213567340641868,0.007427561331239385,True
occupied40,B1,LVL 7 x 18,18,31.273078838006825,6.126922241642505,0.1286404503683256,0.4026173624889489,0.5440880749270322,0.4483246723077249,0.25592824735348807,True
occupied40,B2,LVL 7 x 18,18,38.02882272060182,7.404876746368714,0.21825027707112263,0.4906762224727815,0.684220519828101,0.5451736803010919,0.30930980561272825,True
occupied40,E-rail,LVL 7 x 18,18,6.386297061045969,6.213238995732865,0.0041749305556634565,0.009512618718402916,0.013261722642409358,0.09155269143739035,0.2595337926371289,True
occupied40,S-header,LVL 7 x 18,18,3.270963576299336,1.5645236865681804,0.00025500169552592665,0.02101418451187109,0.02689534541920007,0.046891886822882686,0.065351866606858,True
occupied40,N-header,LVL 7 x 18,18,5.855762709055554,2.849135260186615,0.011840148174993013,0.03497869467282274,0.04789440060552362,0.08394705590862916,0.11901149791924039,True
occupied40,W-rail,LVL 7 x 18,18,0.26140726769074196,0.17771811480104274,0.0,0.0006984350583295766,0.001047652587494365,0.003747482882429845,0.007423480150419496,True
occupied40,B1,LVL 7 x 20,20,31.495865222894217,6.169895517105105,0.09537391454950912,0.30063506659792744,0.4065887443443767,0.3710082619431704,0.23195095928966558,True
occupied40,B2,LVL 7 x 20,20,38.251625335844714,7.44785002183124,0.16179692381585836,0.36590516462521666,0.510457825894913,0.45058832109927943,0.279994361722979,True
