tilt,solar_kw,battery_kwh,annual_solar_kwh,august_kwh,annual_import_kwh,annual_export_kwh,annual_bill,first_year_saving,roof_fits_22pct_90pct,upfront,annual_equipment,annual_net_saving,npv
30,5.0,27.0,8074.1,749.0000000000001,3392.049304867277,1.6178224466682458,1041.1566947000315,3262.0987654626383,True,48800.0,4127.156390182388,-1015.2461150617178,-14308.822466572135
30,5.5,27.0,8881.51,823.9000000000001,2678.0043715202683,25.974306061251305,833.1965565963392,3470.0589035663306,True,50080.0,4224.3755355254025,-914.0797003376642,-12882.988625505832
30,6.0,27.0,9688.920000000002,898.8000000000002,2123.0440936551413,225.57239475293775,673.8997441847504,3629.3557159779193,True,51360.0,4321.594680868416,-859.3361299634275,-12111.435779303978
30,6.5,27.0,10496.33,973.7,1677.5765515355426,545.5169660501543,557.8192601678007,3745.436199994869,True,52640.0,4418.81382621143,-845.8191888403107,-11920.928760412278
30,7.0,27.0,11303.74,1048.6000000000001,1311.7485749728999,952.9234297772881,466.7047743937797,3836.55068576889,True,53920.0,4516.032971554444,-856.1188002027834,-12066.090912006774
30,7.5,27.0,12111.15,1123.5000000000002,1024.3231089932779,1446.7071575018151,431.71073237293444,3871.5447277897356,False,55200.0,4613.252116897458,-919.9550449158019,-12965.795406296518
30,8.0,27.0,12918.560000000001,1198.4,816.9200686527668,2028.6915631016834,440.6444261577749,3862.611034004895,False,56480.0,4710.471262240472,-1025.696572774687,-14456.110638268521
30,8.5,27.0,13725.97,1273.3000000000002,670.8329126711774,2678.1587979065735,457.75919143846477,3845.496268724205,False,57760.0,4807.690407583486,-1139.2425119282207,-16056.42081039791
13,2.0,0.0,3093.22,307.81999999999994,8130.672691413595,127.64500995931762,3334.1698973928,969.0855627698697,True,15120.0,1166.6598445893503,-242.19141580253483,-3413.4323886928205
13,2.5,0.0,3866.5249999999996,384.775,7675.157477321816,445.434795867538,3148.469236087705,1154.7862240749646,True,16400.0,1263.8789899323644,-162.2596415810176,-2286.8783937491507
13,3.0,0.0,4639.83,461.72999999999996,7354.512490837508,898.0948093832303,2995.844939431338,1307.4105207313319,True,17680.0,1361.0981352753781,-113.88138134374526,-1605.037875763349
13,3.5,0.0,5413.135,538.685,7120.807794934319,1437.6951134800406,2870.668708710345,1432.5867514523247,True,18960.0,1458.3172806183923,-91.68746577464162,-1292.2380600289243
13,4.0,0.0,6186.44,615.6399999999999,6941.959269056461,2032.1515876021836,2765.081838024221,1538.173622138449,True,20240.0,1555.5364259614062,-88.1810073178001,-1242.8182289150618
13,4.5,0.0,6959.745,692.5949999999999,6801.956861835972,2665.4541803816937,2674.1898448061224,1629.0656153565474,True,21520.0,1652.7555713044203,-98.69286757912414,-1390.9718047241686
13,5.0,0.0,7733.049999999999,769.55,6687.890387290025,3324.692705835746,2593.48190471488,1709.77355544779,True,22800.0,1749.974716647434,-118.91990259339332,-1676.0505149507271
13,5.5,0.0,8506.355,846.5049999999999,6590.6083433770755,4000.715661922797,2519.0156817101783,1784.2397784524915,True,24080.0,1847.193861990448,-145.1012832398826,-2045.0494424448618
13,6.0,0.0,9279.66,923.4599999999999,6507.394713522768,4690.807032068491,2449.277727432076,1853.9777327305937,True,25360.0,1944.413007333462,-175.79324099998348,-2477.6201937391133
