id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M058,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.4078290602670128,6468.962551905747,0.0,8737.422084957354,477.06714461065144,589.1458692600653,74.67207070861852,42775.79033844189,48150.0,35910.0,35910.0,16031.25,20039.0625,38.854864986058004
M059,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.08613338813484879,0.0,2223.711454950012,587.7020661054901,846.9163681252387,10.944044689483045,7.5364598635860185,12465.839896249767,48150.0,35910.0,35910.0,16031.25,20039.0625,134.4851777449277
M060,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.5972210544955612,5776.145092124168,0.0,15132.786870470329,123.53304371096247,1009.9979844382584,177.77824236606813,33509.71215301891,48150.0,35910.0,35910.0,16031.25,20039.0625,68.0
M061,T-E:web,T-E,HSS2.5x2.5x0.125,strength B2@8/8,0.3863797423507974,0.0,14212.408535843724,849.7808684447045,2425.581089088983,32.0693311679574,15.379711400254427,10634.645155848852,48150.0,35910.0,35910.0,16031.25,20039.0625,145.60412940572806
M062,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.1415936041949006,983.6524725557113,0.0,4164.16151598066,183.17250343288023,168.15259995509268,39.20089421522964,47909.03138865887,48150.0,35910.0,35910.0,16031.25,20039.0625,8.0
M063,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.10786502191591604,1328.3001407409786,0.0,2085.2760704021275,714.1537575477652,105.13643546558127,106.35978844621714,44412.588429256524,48150.0,35910.0,35910.0,16031.25,20039.0625,32.10437373866688
M064,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.25070013290554416,278.1909095293599,0.0,5876.687145040219,2883.85381626161,369.03530906048024,240.69576540749026,41263.12301912956,48150.0,35910.0,35910.0,16031.25,20039.0625,44.373066958946424
M065,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@6/8,0.08916627189169697,0.0,1700.3173837714278,142.0301395894736,1791.8435137146364,31.79811930491797,110.2173932061763,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M066,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.28820579247763484,3339.5038015575446,0.0,2123.1624867050195,930.3354835307498,41.40451262926268,116.60619963197855,16436.683267879704,48150.0,35910.0,35910.0,16031.25,20039.0625,117.11920087683924
M067,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.10588650388720955,833.4715156873336,0.0,975.3547477946736,626.4846003617604,14.855459094091106,22.18281056231634,13601.158822397336,48150.0,35910.0,35910.0,16031.25,20039.0625,128.75
M068,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.39446320035811216,4752.024529630623,0.0,327.07942956989547,1291.721901030234,13.294978049273912,58.2048847467781,13601.158822397336,48150.0,35910.0,35910.0,16031.25,20039.0625,128.75
M069,T-E:web,T-E,HSS2.5x2.5x0.125,strength B2@8/8,0.5797079869536748,4517.042240764709,0.0,2145.172245801281,6746.173419612305,110.18055661742834,184.33130037293495,13601.158822397336,48150.0,35910.0,35910.0,16031.25,20039.0625,128.75
