member,end,joint,status,connected_to,gap_in,source_member
BR-N-ground-2,start,N1 / U-W @ 0.0267558528428,connected,N1 / U-W,0.0,BR-N-ground-2 | HSS2-1/4X2-1/4X1/8
BR-N-ground-2,end,W.W4 @ 0.502732240437,connected,BR-W-1; T-N; W.W4; W.bottom,0.0,BR-N-ground-2 | HSS2-1/4X2-1/4X1/8
BR-R-main-1,start,W.slope @ 0.453003292646,connected,T-S top / segment 1; W.W1; W.slope,0.0,BR-R-main-1 | HSS2-1/4X2-1/4X1/8
BR-R-main-1,end,E.front.slope,connected,E.clerestory; E.slope,0.0,BR-R-main-1 | HSS2-1/4X2-1/4X1/8
BR-R-main-2,start,E.slope @ 0.453003292646,connected,E.W1; E.slope; T-S top / segment 1,0.0,BR-R-main-2 | HSS2X2X1/8
BR-R-main-2,end,W.front.slope,connected,W.clerestory; W.slope,0.0,BR-R-main-2 | HSS2X2X1/8
BR-R-cap-1,start,W.top @ 0.404137678347,connected,W.top,0.0,BR-R-cap-1 | HSS3X3X3/16
BR-R-cap-1,end,E.top @ 0.892918427895,connected,E.top,0.0,BR-R-cap-1 | HSS3X3X3/16
BR-R-cap-2,start,E.top @ 0.404137678347,connected,E.top,0.0,BR-R-cap-2 | HSS1-1/2X1-1/2X1/8
BR-R-cap-2,end,W.top @ 0.892918427895,connected,W.top,0.0,BR-R-cap-2 | HSS1-1/2X1-1/2X1/8
E-OB,start,EOB.south,declared overhang,,0.0,E-OB
E-OB,end,EOB.north,declared overhang,,0.0,E-OB
E-S,start,E-S.base,ground support,,0.0,E-S
E-S,end,E-OB @ 0.00778210116732,connected,E-OB; East rafter 01,0.0,E-S
E-N,start,E-N.base,ground support,,0.0,E-N
E-N,end,E-OB @ 0.992217898833,connected,E-OB; East rafter 12,0.0,E-N
E-M option B,start,E-M option B.base,ground support,,0.0,E-M option B
E-M option B,end,E-M.bearing,connected,E-OB,0.0,E-M option B
East rafter 01,start,E-OB @ 0.00778210116732,connected,E-OB; E-S,0.0,East rafter 01
East rafter 01,end,E.slope @ 0.438622235736,connected,E.slope,0.0,East rafter 01
East rafter 02,start,E-OB @ 0.0972762645914,connected,E-OB,0.0,East rafter 02
East rafter 02,end,E.slope @ 0.604004390194,connected,E.slope,0.0,East rafter 02
East rafter 03,start,E-OB @ 0.186770428016,connected,E-OB,0.0,East rafter 03
East rafter 03,end,E.slope @ 0.769386544652,connected,E.slope,0.0,East rafter 03
East rafter 04,start,E-OB @ 0.27626459144,connected,E-OB,0.0,East rafter 04
East rafter 04,end,E.slope @ 0.93476869911,connected,E.slope,0.0,East rafter 04
East rafter 05,start,E-OB @ 0.365758754864,connected,E-OB,0.0,East rafter 05
East rafter 05,end,E.top @ 0.0761400700969,connected,E.top,0.0,East rafter 05
East rafter 06,start,E-OB @ 0.455252918288,connected,E-OB,0.0,East rafter 06
East rafter 06,end,E.top @ 0.201872486593,connected,E.top,0.0,East rafter 06
East rafter 07,start,E-OB @ 0.544747081712,connected,E-OB,0.0,East rafter 07
East rafter 07,end,E.top @ 0.327604903088,connected,E.top,0.0,East rafter 07
East rafter 08,start,E-OB @ 0.634241245136,connected,E-OB,0.0,East rafter 08
East rafter 08,end,E.top @ 0.453337319584,connected,E.top,0.0,East rafter 08
East rafter 09,start,E-OB @ 0.72373540856,connected,E-OB,0.0,East rafter 09
East rafter 09,end,E.top @ 0.57906973608,connected,E.top,0.0,East rafter 09
East rafter 10,start,E-OB @ 0.813229571984,connected,E-OB,0.0,East rafter 10
East rafter 10,end,E.top @ 0.704802152575,connected,E.top,0.0,East rafter 10
East rafter 11,start,E-OB @ 0.902723735409,connected,E-OB,0.0,East rafter 11
East rafter 11,end,E.top @ 0.830534569071,connected,E.top,0.0,East rafter 11
East rafter 12,start,E-OB @ 0.992217898833,connected,E-N; E-OB,0.0,East rafter 12
East rafter 12,end,E.top @ 0.956266985567,connected,E.top,0.0,East rafter 12
Wood joist 0-0,start,T1 future floor beam @ 0.116341030195,connected,T1 future floor beam,0.0,Wood joist 0-0
Wood joist 0-0,end,B2 future floor beam @ 0.116341030195,connected,B2 future floor beam; Wood joist 0-1,0.0,Wood joist 0-0
Wood joist 0-1,start,B2 future floor beam @ 0.116341030195,connected,B2 future floor beam; Wood joist 0-0,0.0,Wood joist 0-1
Wood joist 0-1,end,T-N @ 0.116341030195,connected,T-N,0.0,Wood joist 0-1
Wood joist 1-0,start,T1 future floor beam @ 0.173179396092,connected,T1 future floor beam,0.0,Wood joist 1-0
Wood joist 1-0,end,B2 future floor beam @ 0.173179396092,connected,B2 future floor beam; Wood joist 1-1,0.0,Wood joist 1-0
Wood joist 1-1,start,B2 future floor beam @ 0.173179396092,connected,B2 future floor beam; Wood joist 1-0,0.0,Wood joist 1-1
Wood joist 1-1,end,T-N @ 0.173179396092,connected,T-N,0.0,Wood joist 1-1
Wood joist 2-0,start,T1 future floor beam @ 0.230017761989,connected,T1 future floor beam,0.0,Wood joist 2-0
Wood joist 2-0,end,B2 future floor beam @ 0.230017761989,connected,B2 future floor beam; Wood joist 2-1,0.0,Wood joist 2-0
Wood joist 2-1,start,B2 future floor beam @ 0.230017761989,connected,B2 future floor beam; Wood joist 2-0,0.0,Wood joist 2-1
Wood joist 2-1,end,T-N @ 0.230017761989,connected,T-N,0.0,Wood joist 2-1
Wood joist 3-0,start,T1 future floor beam @ 0.286856127886,connected,T1 future floor beam,0.0,Wood joist 3-0
Wood joist 3-0,end,B2 future floor beam @ 0.286856127886,connected,B2 future floor beam; Wood joist 3-1,0.0,Wood joist 3-0
Wood joist 3-1,start,B2 future floor beam @ 0.286856127886,connected,B2 future floor beam; Wood joist 3-0,0.0,Wood joist 3-1
Wood joist 3-1,end,T-N @ 0.286856127886,connected,T-N,0.0,Wood joist 3-1
Wood joist 4-0,start,T1 future floor beam @ 0.343694493783,connected,T1 future floor beam,0.0,Wood joist 4-0
Wood joist 4-0,end,B2 future floor beam @ 0.343694493783,connected,B2 future floor beam; Wood joist 4-1,0.0,Wood joist 4-0
Wood joist 4-1,start,B2 future floor beam @ 0.343694493783,connected,B2 future floor beam; Wood joist 4-0,0.0,Wood joist 4-1
Wood joist 4-1,end,T-N @ 0.343694493783,connected,T-N,0.0,Wood joist 4-1
Wood joist 5-0,start,T1 future floor beam @ 0.40053285968,connected,T1 future floor beam,0.0,Wood joist 5-0
Wood joist 5-0,end,B2 future floor beam @ 0.40053285968,connected,B2 future floor beam; Wood joist 5-1,0.0,Wood joist 5-0
Wood joist 5-1,start,B2 future floor beam @ 0.40053285968,connected,B2 future floor beam; Wood joist 5-0,0.0,Wood joist 5-1
Wood joist 5-1,end,T-N @ 0.40053285968,connected,T-N,0.0,Wood joist 5-1
