member,truss,role,section,section_key,length_ft,weight_lb,utilization,stage,case,compression_lb,tension_lb,My_lb_in,Mz_lb_in,web_pinned_utilization,base_pinned_utilization
T1 diagonal 6,T1,diagonal,HSS1-1/2X1-1/2X3/16,HSS1.5x1.5x0.188,6.384186695944023,19.40792755566983,0.8896223859892562,PDelta,strength_HT0.25,7742.363642598764,0,113.45705506433762,360.39298380839045,0.917004295210585,0.8874580830771601
T1 diagonal 7,T1,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,6.452956862452176,14.196505097394787,0.15310401508111143,complete,strength_HT0.5,0,3628.6429495297198,37.11986369190303,179.2497557132842,0.15094179182743245,0.15005986297555787
T1 diagonal 8,T1,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,6.4529568624521785,14.196505097394795,0.13819100499090703,complete,strength_HT0.5,0,3131.5874488347617,64.0562864356075,179.77823390636829,0.12861831489714448,0.1387255960245528
T1 diagonal 9,T1,diagonal,HSS1-1/2X1-1/2X3/16,HSS1.5x1.5x0.188,6.384186695944027,19.407927555669843,0.9331600192937222,PDelta,strength_HT0.75,8195.134437201079,0,72.02442045054484,323.4652529390742,0.9863775207356893,0.9335653699188334
T-W vertical 1,TW,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,1.7642800863978891,3.8814161900753565,0.1780277649883173,PDelta,strength_roof,826.7144705443025,0,1394.9189256103032,80.98088182034097,0.037061813819943105,0.18577144493886372
T-W vertical 3,TW,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,6.130491497144433,13.487081293717754,0.6663480992114112,PDelta,strength_HT0.25,0,5279.477126880025,854.0976045748419,4084.07898007206,0.557405444440299,0.6491790602879991
T-W vertical 4,TW,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,8.681054144234196,19.09831911731523,0.3158148279323682,PDelta,strength_HT0.25,0,1152.241312454018,1986.144717990434,1051.8116234622255,0.05051337065130328,0.3126272612786154
T-W vertical 6,TW,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,8.729166666666664,19.204166666666662,0.20831448684682355,roof_first,strength_roof_first,522.4172746964291,0,656.2103474047801,61.73257358624116,0.15089180585742468,0.19581262928249965
T-W diagonal 9,TW,diagonal,HSS2-1/4X2-1/4X1/8,HSS2.25x2.25x0.125,8.759844855670364,30.484260097732868,0.7365425264837746,complete,strength_HT0.25,10042.227278805814,0,211.9847154693251,1076.608055898062,0.7359104522989041,0.7230671719180892
T-W diagonal 10,TW,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,7.857257506573554,17.285966514461823,0.7530699968503335,complete,strength_HT0.25,2811.309366419242,0,969.5508148049746,748.2644577661815,0.6231745618742934,0.7325198123934997
T-W balcony header,TW,header,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,5.0,11.0,0.41613273407574597,PDelta,strength_lateral_HX_-2,707.9226687589253,0,2041.6217216979226,997.0749498956716,0.3383863016900522,0.4321143953047649
T-W vertical 13,TW,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,1.0625000000000024,2.3375000000000057,0.07437056567333185,complete,strength_lateral_HX_-2,0,23.947661010259253,133.60273775290588,407.4291420534542,0.030851371906651607,0.06303529565018443
T-W diagonal 15,TW,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.8118826482941635,6.18614182624716,0.17540446736098456,PDelta,strength_lateral_HX_-2,0,512.8188111639029,1202.957119228406,359.56506070576654,0.056131619741062615,0.17574575807681442
